Model,Noise_Level,Accuracy,F1_Score,Recall,Precision,CO2e_kg,Energy_kWh,Train_Time_sec,Inference_Time_ms,RAM_MB,Model_Size_MB,Accuracy_per_CO2,F1_Score_per_CO2,Accuracy_per_Time,Accuracy_per_RAM
DecisionTree,0,0.9536,0.7303893085415456,0.7394117647058823,0.7215843857634903,1.0506708229379132e-08,7.329777777777778e-05,0.1041016578674316,0.0001500248908996,6.187312126159668,0.5729608535766602,90761062.28338183,69516473.91322926,9.160276786507692,0.1541218513881372
DecisionTree,10,0.9475,0.6952988972721996,0.7047058823529412,0.6861397479954181,2.050859415514904e-08,8.273888888888889e-05,0.191016674041748,0.0001499414443969,6.187090873718262,0.6199579238891602,46200143.8437024,33902806.40458394,4.960299956813808,0.153141439060613
DecisionTree,20,0.9438,0.6703812316715543,0.6723529411764706,0.6684210526315789,2.8652655238243284e-08,7.456138888888889e-05,0.2654244899749756,0.0001494526863098,6.187090873718262,0.6466608047485352,32939355.60779341,23396827.48762435,3.555813557705177,0.1525434197207457
DecisionTree,30,0.93705,0.6381144006898534,0.6529411764705882,0.6239460370994941,2.5596538589958162e-08,7.539e-05,0.30328369140625,0.0001500248908996,6.187090873718262,0.6767206192016602,36608465.50430129,24929714.556803145,3.089681465083518,0.1514524384926094
DecisionTree,40,0.92985,0.5943914426134721,0.6047058823529412,0.5844229675952246,3.862509608752713e-08,7.352500000000001e-05,0.3691937923431396,0.0001502513885498,6.187090873718262,0.6974725723266602,24073726.51948608,15388736.930687243,2.518595976651118,0.1502887251825973
DecisionTree,50,0.92125,0.555210392544479,0.5782352941176471,0.5339489407930472,3.6553746623523163e-08,7.171222222222221e-05,0.433424711227417,0.0001499772071838,6.187090873718262,0.7391290664672852,25202614.91901776,15188877.85328108,2.125513327080749,0.1488987342845274
DecisionTree,60,0.9174,0.5222672064777328,0.5311764705882352,0.5136518771331058,6.149827284512206e-08,7.387694444444444e-05,0.5399284362792969,0.0001503705978393,6.187090873718262,0.7662897109985352,14917492.110882375,8492388.197519246,1.699114064674754,0.1482764709173682
DecisionTree,70,0.9096,0.488398415393322,0.5076470588235295,0.470556161395856,5.979413859206037e-08,7.225027777777778e-05,0.5892693996429443,0.0001499772071838,6.187090873718262,0.7998590469360352,15212193.392493814,8167998.183323156,1.5436063718074506,0.1470157814981884
DecisionTree,80,0.90495,0.4600965634762851,0.4764705882352941,0.4448105436573311,5.1007045769061995e-08,7.105805555555555e-05,0.611598014831543,0.0001494526863098,6.187090873718262,0.8206110000610352,17741666.594400022,9020255.075336158,1.4796483606135595,0.146264216652139
DecisionTree,90,0.8967,0.4190101237345331,0.438235294117647,0.4014008620689655,7.18940086474245e-08,7.424805555555556e-05,0.7094800472259521,0.0001506567001342,6.187090873718262,0.8496026992797852,12472527.500831226,5828164.705481945,1.263883323436752,0.1449307951510835
DecisionTree,100,0.8957,0.4087301587301587,0.4241176470588235,0.3944201312910284,7.686819807283701e-08,7.381500000000001e-05,0.7961533069610596,0.0001999735832214,6.187090873718262,0.8679132461547852,11652413.123451564,5317285.548216748,1.1250345783513895,0.1447691683024707
GradientBoosting,0,0.9721,0.8074534161490683,0.6882352941176471,0.976627712854758,1.2799999634227211e-06,8.809972222222222e-05,3.428642749786377,0.0009498357772827,9.970158576965332,0.1796951293945312,759453.1467021324,630822.9993928571,0.2835232688096673,0.0975009567296052
GradientBoosting,10,0.96635,0.7689667009955372,0.6588235294117647,0.9233305853256388,2.2383745172534075e-06,8.68522222222222e-05,4.828992366790772,0.0008489727973937,9.927407264709473,0.1874465942382812,431719.532433633,343537.9982520066,0.2001142115373051,0.0973416295144088
GradientBoosting,20,0.9626,0.7431318681318682,0.6364705882352941,0.8927392739273927,2.801800616307288e-06,9.313777777777776e-05,6.050699949264526,0.000899851322174,9.94522476196289,0.1881484985351562,343564.77559373435,265233.67287687294,0.159089032355175,0.0967901704626745
GradientBoosting,30,0.95905,0.7104984093319194,0.5911764705882353,0.8901682905225864,3.641205931154897e-06,9.483972222222222e-05,7.302658319473267,0.0008498907089233,9.968573570251465,0.1884994506835937,263388.0143372759,195127.22509121243,0.131328888473749,0.0962073453379556
